id;longitude;latitude;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
78_155;583100;2438200;0.68124954;-1.504428655;30;109.667321;0.045684038;0.408863743;0.08738982
26_325;811100;2000200;1.719802771;-1.501410264;45;110.3128755;0.064484267;0.666865254;0.169342113
52_1201;801100;2324200;0.208398806;-1.464943698;33;106.5184505;0.102910794;0.33764751;0.10831635
37_113;487100;2288200;1.173514777;-1.454445191;56;109.1476078;0.046008182;0.536558715;0.115089258
69_402;799100;2098200;1.868974421;-1.437830499;45;106.5600424;0.084270715;0.815850487;0.236836654
22_583;239100;2404200;1.57457819;-1.432482679;39;101.2187231;0.158578411;0.451763062;0.179900657
10_1206;779100;2350200;-0.25396074;-1.405457901;36;99.58378731;0.104309319;0.3221533;0.104045701
86_1481;455100;2144200;1.098292182;-1.395925103;51;108.6219552;0.07597071;0.490077946;0.13507913
52_1056;803100;2332200;0.374547424;-1.380276036;39;102.6282561;0.077084374;0.328764322;0.091278366
2_1791;691100;2446200;1.878367596;-1.361985901;59;107.294431;0.04153037;0.563573301;0.114850611
52_983;803100;2336200;0.535076793;-1.356776422;40;104.3256849;0.041322334;0.33669897;0.068443815
61_1344;475100;2384200;0.603679014;-1.356240832;45;112.1454772;0.13044717;0.547673033;0.197805648
21_864;793100;2280200;-0.671849929;-1.349975549;32;107.799754;0.102081822;0.340686035;0.108850026
37_945;513100;2244200;1.352074404;-1.34460064;50;118.3308364;0.115799459;0.531188463;0.18075982
47_110;461100;1960200;2.003016643;-1.33952698;40;109.8134548;0.038114512;0.331524485;0.064723321
14_726;405100;2458200;1.91106981;-1.330767007;40;112.9115046;0.075643836;0.57862953;0.159142936
17_157;337100;2136200;1.271919809;-1.319229155;44;112.2482767;0.075917947;0.463301577;0.127654464
30_728;787100;1892200;1.048295668;-1.313937562;28;83.9997735;0.165553939;0.650497485;0.264676498
2_1799;673100;2444200;1.879189639;-1.30224224;52;104.513664;0.038746473;0.418012079;0.082282015
70_1314;851100;2264200;0.32768705;-1.294987899;55;105.8139918;0.0562961;0.504942395;0.119806668
62_394;581100;2630200;1.482075536;-1.29138318;47;108.16329;0.189050854;0.49002405;0.213062352
58_1117;677100;2224200;0.331108066;-1.291202096;51;108.0883738;0.14793264;0.516717992;0.198740138
54_327;861100;2442200;0.607561817;-1.284619281;43;106.3096507;0.103724581;0.405853178;0.130710295
85_219;287100;2218200;0.813841878;-1.281043532;39;104.5488451;0.081388048;0.457453325;0.130504986
21_863;791100;2280200;-0.806350725;-1.257512907;36;105.3857839;0.114283632;0.346979966;0.117299569
76_1559;499100;2482200;-0.652210864;-1.232611495;39;109.645695;0.123789254;0.396244557;0.139413484
86_899;459100;2172200;1.443718573;-1.21280099;47;112.5062714;0.035291548;0.412384212;0.077470683
65_477;397100;1788200;-1.840016543;-1.201985729;25;87.42127346;0.229433868;0.523490401;0.250748005
11_622;639100;1798200;1.306943253;-1.197400286;45;116.4970723;0.042109326;0.550126289;0.112888979
51_1751;791100;2414200;-0.605437463;-1.189601529;37;109.5425566;0.134192533;0.382053514;0.139954985
44_480;297100;2286200;0.639076422;-1.175214796;45;117.3936144;0.13135159;0.565066021;0.204793826
1_1103;799100;2108200;0.135027251;-1.1722048;33;107.6769675;0.144712458;0.405566838;0.154282049
52_894;777100;2340200;-0.158113929;-1.139694366;38;107.8600726;0.08705878;0.35903423;0.105935652
11_573;663100;1800200;0.504525474;-1.138707917;46;105.4917738;0.105013076;0.601635432;0.1949643
30_1308;759100;1860200;1.690497481;-1.132161297;37;121.5851367;0.152031377;0.512137335;0.199688498
52_1019;803100;2334200;-0.086286531;-1.114985351;35;104.72847;0.215776993;0.3730532;0.173289935
60_1281;615100;2468200;1.804975085;-1.114389939;55;104.2374074;0.097071998;0.660518378;0.205793612
87_336;489100;2120200;-2.154793603;-1.098630924;49;112.708174;0.081118907;0.522430987;0.14879556
55_166;801100;2490200;0.227359832;-1.091079594;54;108.9714322;0.068203967;0.445044875;0.116227426
60_779;639100;2490200;-0.000496439;-1.090471382;41;107.1806677;0.008556644;0.33191387;0.030702741
53_883;375100;2340200;0.286650168;-1.081128747;48;111.564118;0.040246757;0.435888292;0.087446142
84_634;833100;1882200;0.782050492;-1.079928371;42;123.772582;0.063323802;0.623678585;0.156943857
26_386;837100;1996200;-2.254925593;-1.073013023;30;89.36077437;0.119619413;0.496224773;0.171624496
33_1864;403100;1962200;1.491453012;-1.059620666;47;115.1835642;0.132942582;0.512354526;0.18681108
